City Name,Tour Name,Price,Rating,Review Number,Web Link
Beijing,"Mutianyu Great Wall, Summer Palace",88.00,5.0,93 ,https://www.tripadvisor.com/AttractionProductReview-g294212-d11459745-All_Inclusive_Private_Day_Tour_to_Great_Wall_and_Summer_Palace-Beijing.html
Beijing,Mutianyu Great Wall and Beijing City,98.00,4.0,67 ,
Beijing,"Beijing Forbidden City, Tiananmen",129.00,5.0,95 ,https://www.tripadvisor.com/AttractionProductReview-g294212-d11455267-Beijing_Forbidden_City_Tour_with_Great_Wall_Hiking_at_Mutianyu-Beijing.html
Beijing,Great Wall at Badaling and Ming Tombs,72.99,4.5,435 ,
Beijing,Private Mutianyu Great Wall Trip with,45.00,5.0,99 ,
Beijing,"Tiananmen Square, Forbidden City",78.00,5.0,34 ,
Beijing,"Mutianyu Great Wall, Summer Palace",88.00,5.0,93 ,https://www.tripadvisor.com/AttractionProductReview-g294212-d11459745-All_Inclusive_Private_Day_Tour_to_Great_Wall_and_Summer_Palace-Beijing.html
Beijing,Great Wall at Mutianyu Small-Group,80.00,5.0,30 ,
Beijing,Great Wall of China at Mutianyu Tour,64.99,4.0,343 ,
Beijing,"Beijing's Forbidden City, Tiananmen",82.99,4.0,314 ,
Beijing,Great Wall at Badaling and Ming Tombs,72.99,4.5,435 ,
Beijing,"Beijing Forbidden City, Tiananmen",129.00,5.0,95 ,https://www.tripadvisor.com/AttractionProductReview-g294212-d11455267-Beijing_Forbidden_City_Tour_with_Great_Wall_Hiking_at_Mutianyu-Beijing.html
Beijing,Mutianyu Great Wall and Beijing City,98.00,4.0,67 ,
Beijing,Private Beijing Tour: Temple of,122.00,5.0,33 ,
Beijing,"Tiananmen Sq., Forbidden City, Temple",140.00,5.0,55 ,
Beijing,"Beijing Lama Temple, Panda Garden and",108.99,4.5,21 ,
Beijing,Terracotta Warriors Essential Full,108.99,4.5,157 ,
Beijing,Beijing Day Trip of Mutianyu Great,39.00,4.0,35 ,
Beijing,Beijing History Tour: Summer Palace,54.99,4.5,148 ,
Beijing,"Tiananmen Square, Forbidden City",78.00,5.0,34 ,
Beijing,Private Mutianyu Great Wall Trip with,45.00,5.0,99 ,
Beijing,Coach Tour: Simatai Great Wall And,55.00,5.0,12 ,
Beijing,Mutianyu Great Wall of China Private,46.00,5.0,17 ,https://www.tripadvisor.com/AttractionProductReview-g294212-d11472278-Beijing_Mutianyu_Great_Wall_Private_Day_Trip_with_English_Speaking_Driver-Beijing.html
Beijing,Mutianyu Great Wall Full-Day Private,50.00,5.0,14 ,
Beijing,Xi'an Tour from Beijing by Air with,768.00,5.0,17 ,
Beijing,Mutianyu Great Wall Private Tour with,100.00,5.0,72 ,
Beijing,Private Beijing Tour: Temple of,122.00,5.0,33 ,
Beijing,Private Mutianyu Great Wall Day Tour,40.00,5.0,20 ,
Beijing,Great Wall Hike: Simatai West to,136.00,5.0,103 ,
Beijing,Beijing History Tour: Summer Palace,54.99,4.5,148 ,
Beijing,Private Great Wall Hiking from,68.00,5.0,30 ,
Beijing,Small Group Tour: Enjoy Your Day on,40.00,5.0,31 ,https://www.tripadvisor.com/AttractionProductReview-g294212-d12148370-Small_Group_Tour_Enjoy_Your_Day_on_Mutianyu_Great_Wall_including_Lunch-Beijing.html
Beijing,Beijing Day Trip of Mutianyu Great,39.00,4.0,35 ,
Beijing,Beijing Private Tour: Temple of,140.00,5.0,14 ,
Beijing,Private Cultural Tour: Hutong,70.00,4.5,14 ,
Beijing,3-Day Coach Tour including Great,258.00,4.0,10 ,
Beijing,Mutianyu Great Wall and Beijing City,98.00,4.0,67 ,
Beijing,3-Day Beijing Sightseeing Private,235.00,5.0,16 ,
Beijing,8-Day Small-Group China Tour: Beijing,"1,190.00",5.0,20 ,
Beijing,Private 8-Day China Tour: Beijing,"1,562.00",5.0,1,
Beijing,Great Wall at Badaling and Ming Tombs,72.99,4.5,435 ,
Beijing,Beijing Tour: Badaling Great Wall,86.99,4.5,187 ,
Beijing,Beijing Highlights Full-Day Bus Tour,28.00,4.5,48 ,
Beijing,Forbidden City Tiananmen Square,56.99,4.5,84 ,
Beijing,"Tiananmen Square, Forbidden City",78.00,5.0,34 ,
Beijing,Great Wall at Mutianyu Small-Group,80.00,5.0,30 ,
Beijing,Full-Day Beijing Experience With,119.00,5.0,24 ,
Beijing,Coach Tour: Simatai Great Wall And,55.00,5.0,12 ,
Shanghai,"Zhujiajiao Water Town, Shanghai City",96.00,5.0,45 ,https://www.tripadvisor.com/AttractionProductReview-g308272-d12578270-Zhujiajiao_Water_Town_and_Shanghai_City_Private_Day_Tour-Shanghai.html
